"","X.1","X","year","zip","funds","lat","long","fundsMil","cityState"
"1",1,1,2005,"15213",31161,40.443269,-79.95487,0.031161,"Pittsburgh, PA"
"2",2,2,2005,"19010",157629.53,40.02371,-75.32764,0.15762953,"Bryn Mawr, PA"
"3",3,3,2005,"22230",0,38.87972,-77.110817,0,"Arlington, VA"
"4",4,4,2005,"97403",136649.47,44.03858,-123.05562,0.13664947,"Eugene, OR"
"5",5,5,2006,"00681",59979.88,18.219023,-67.508068,0.05997988,"Mayaguez, PR"
"6",6,6,2006,"00931",3652514,18.410462,-66.060533,3.652514,"San Juan, PR"
"7",7,7,2006,"01003",1489633,42.369562,-72.63599,1.489633,"Amherst, MA"
"8",8,8,2006,"01075",163769.44,42.234891,-72.58243,0.16376944,"South Hadley, MA"
"9",9,9,2006,"01655",168745,42.364807,-71.896868,0.168745,"Worcester, MA"
"10",10,10,2006,"02115",448981.67,42.34308,-71.09268,0.44898167,"Boston, MA"
"11",11,11,2006,"02138",5209167.19,42.379146,-71.12803,5.20916719,"Cambridge, MA"
"12",12,12,2006,"02139",830928,42.364347,-71.10431,0.830928,"Cambridge, MA"
"13",13,13,2006,"02155",178611,42.419846,-71.10942,0.178611,"Medford, MA"
"14",14,14,2006,"02215",1433931.05,42.346997,-71.10215,1.43393105,"Boston, MA"
"15",15,15,2006,"02421",129386,42.439295,-71.23553,0.129386,"Lexington, MA"
"16",16,16,2006,"02481",41323,42.313329,-71.27649,0.041323,"Wellesley Hills, MA"
"17",17,17,2006,"02540",7e+05,41.56105,-70.61968,0.7,"Falmouth, MA"
"18",18,18,2006,"02543",391224.38,41.526791,-70.66505,0.39122438,"Woods Hole, MA"
"19",19,19,2006,"02881",345482.76,41.481001,-71.52689,0.34548276,"Kingston, RI"
"20",20,20,2006,"02892",3000,41.50155,-71.58465,0.003,"West Kingston, RI"
"21",21,21,2006,"02912",642000,41.826737,-71.397699,0.642,"Providence, RI"
"22",22,22,2006,"03755",463679,43.719756,-72.2507,0.463679,"Hanover, NH"
"23",23,23,2006,"03824",3251664,43.128085,-70.96035,3.251664,"Durham, NH"
"24",24,24,2006,"04469",1823642,45.002798,-68.63343,1.823642,"Orono, ME"
"25",25,25,2006,"04672",755786,44.430435,-68.2849,0.755786,"Salsbury Cove, ME"
"26",26,26,2006,"05405",191884,44.442117,-73.082525,0.191884,"Burlington, VT"
"27",27,27,2006,"05851",68511,44.541352,-72.02686,0.068511,"Lyndonville, VT"
"28",28,28,2006,"06511",120000,41.317197,-72.92798,0.12,"New Haven, CT"
"29",29,29,2006,"06520",1561553.79,41.365709,-72.927507,1.56155379,"New Haven, CT"
"30",30,30,2006,"07102",31495.7,40.735257,-74.17326,0.0314957,"Newark, NJ"
"31",31,31,2006,"07508",120000,40.945198,-74.18286,0.12,"Haledon, NJ"
"32",32,32,2006,"08544",418652.16,40.349206,-74.652811,0.41865216,"Princeton, NJ"
"33",33,33,2006,"08628",19431,40.264708,-74.82295,0.019431,"Trenton, NJ"
"34",34,34,2006,"08901",774400.64,40.488304,-74.44775,0.77440064,"New Brunswick, NJ"
"35",35,35,2006,"10001",651164.25,40.750742,-73.99653,0.65116425,"New York, NY"
"36",36,36,2006,"10010",58279.03,40.739022,-73.98205,0.05827903,"New York, NY"
"37",37,37,2006,"10027",10410672,40.812665,-73.95499,10.410672,"New York, NY"
"38",38,38,2006,"10314",50815,40.606337,-74.14513,0.050815,"Staten Island, NY"
"39",39,39,2006,"10458",377929,40.864166,-73.88881,0.377929,"Bronx, NY"
"40",40,40,2006,"11367",9000,40.728614,-73.82145,0.009,"Flushing, NY"
"41",41,41,2006,"11769",49163.16,40.736011,-73.1296,0.04916316,"Oakdale, NY"
"42",42,42,2006,"11794",598832,40.922326,-72.637078,0.598832,"Stony Brook, NY"
"43",43,43,2006,"12180",802592.8,42.731628,-73.66465,0.8025928,"Troy, NY"
"44",44,44,2006,"12204",513611,42.683727,-73.73329,0.513611,"Albany, NY"
"45",45,45,2006,"12222",91889,42.692909,-73.838035,0.091889,"Albany, NY"
"46",46,46,2006,"13902",214294,42.105375,-75.8876,0.214294,"Binghamton, NY"
"47",47,47,2006,"14260",452954.7,42.768413,-78.887094,0.4529547,"Buffalo, NY"
"48",48,48,2006,"14627",242058.6,43.127513,-77.627674,0.2420586,"Rochester, NY"
"49",49,49,2006,"14850",16366271.8,42.449454,-76.49685,16.3662718,"Ithaca, NY"
"50",50,50,2006,"14853",1818709,42.447373,-76.483703,1.818709,"Ithaca, NY"
